player_id,team,disposals_avg_last3,disposals_avg_last5,disposals_avg_last10,goals_avg_last3,goals_avg_last5,goals_avg_last10,fantasy_avg_last3,fantasy_avg_last5,fantasy_avg_last10,games_played_prior,home_away,win_rate_last5,ladder_rank_pre,rest_days
44727,North Melbourne Kangaroos,26.333333333333332,25.2,19.2,0.0,0.0,0.0,85.66666666666667,84.8,64.9,122,A,0.2,7.0,6.0
45890,Fremantle Dockers,11.666666666666666,11.2,10.3,,,1.0,54.333333333333336,61.8,65.5,208,A,0.4,5.0,7.0
45606,St Kilda Saints,15.666666666666666,13.8,11.9,,,,64.0,54.6,46.9,233,A,1.0,1.0,8.0
44157,Geelong Cats,12.0,13.0,14.1,0.0,0.0,0.0,49.0,53.4,55.7,78,A,0.8,1.0,6.0
45100,Port Adelaide Power,13.0,16.2,17.5,0.0,0.0,0.0,51.666666666666664,63.8,69.2,109,A,0.4,4.0,6.0
45974,West Coast Eagles,15.0,18.0,19.0,2.0,2.0,1.5,80.0,81.0,80.0,226,A,0.6,6.0,7.0
45139,Melbourne Demons,23.0,19.2,18.6,0.3333333333333333,0.4,0.5,100.33333333333333,81.8,78.2,14,A,0.2,8.0,6.0
45122,Hawthorn Hawks,19.333333333333332,17.8,20.77777777777778,0.0,0.0,0.0,69.66666666666667,62.8,68.8,19,A,0.2,5.0,8.0
45954,North Melbourne Kangaroos,10.0,10.6,10.7,,,,40.666666666666664,42.4,45.6,154,A,0.2,5.0,8.0
43627,Richmond Tigers,18.333333333333332,18.6,16.666666666666668,0.3333333333333333,0.2,0.2,75.0,77.6,69.8,91,A,0.4,2.0,6.0
46295,Richmond Tigers,10.0,12.0,12.0,,,,40.0,47.0,47.0,4,A,0.4,2.0,6.0
44933,Richmond Tigers,10.0,12.0,12.0,0.0,0.0,0.0,40.0,47.0,47.0,4,A,0.4,2.0,6.0
44454,West Coast Eagles,14.5,13.25,14.0,0.0,0.4,0.3,56.333333333333336,59.0,59.0,18,H,0.6,1.0,6.0
45309,Richmond Tigers,16.0,17.4,17.3,1.0,1.6666666666666667,1.75,59.333333333333336,67.6,74.7,218,A,0.4,2.0,6.0
